71
1	0	13
2	1	13
3	2	8
4	3	7
5	3	8
6	4	2
7	4	3
8	5	2
9	5	3
10	5	14
11	6	5
12	6	14
13	6	15
14	7	9
15	7	10
16	8	9
17	9	4
18	9	7
19	10	4
20	10	6
21	10	7
22	11	1
23	11	2
24	11	3
25	12	1
26	12	2
27	12	3
28	13	0
29	13	1
30	13	8
31	14	1
32	14	8
33	14	9
34	15	1
35	15	4
36	15	5
37	15	7
38	16	4
39	16	6
40	16	7
41	17	2
42	17	3
43	18	2
44	18	3
45	19	8
46	20	8
47	20	9
48	20	12
49	21	4
50	21	5
51	21	11
52	21	12
53	22	4
54	22	6
55	22	7
56	22	8
57	23	2
58	23	3
59	23	13
60	24	2
61	24	3
62	24	13
63	24	14
64	25	0
65	25	9
66	25	10
67	26	8
68	26	9
69	27	4
70	27	5
71	28	4
